Id,Created_By,Created_At,Description,Disciplines[]
34,ending,1,Klammerlauf_03,10
34,ending,2,Auslaufen,5
35,warmup,1,ZweiRundenRollbrett,10
35,warmup,2,LaufABC_18,10
35,mainex,1,TransportSprint,10
35,mainex,2,TurnenAufHochsprungMatte,15
35,mainex,3,SauDurchsDorf,15
35,mainex,4,WerfenOhneAnlauf,10
35,ending,1,Biathlon,10
35,ending,2,Auslaufen,5
36,warmup,1,ZweiRundenRollbrett,10
36,warmup,2,LaufABC_18,10
36,mainex,1,TransportSprint,15
36,mainex,2,TurnenAufHochsprungMatte,15
36,mainex,3,TheorieStaffelübergabe,10
36,ending,1,Rundenstaffel,15
36,ending,2,Auslaufen,5
37,warmup,1,CrosslaufAufRasenIntervalle,10
37,warmup,2,LaufABC_19,10
37,mainex,1,PendelstaffelMitHürden,10
37,mainex,2,KoordinationsLeiter,10
37,mainex,3,HürdenbahnMitSchwungbein,10
37,mainex,4,TheorieStaffelübergabe,10
37,ending,1,Rundenstaffel,15
37,ending,2,Auslaufen,5
