Id;Name;Warmup;RunABC;MainEx;Ending;Material;DurationMin;DurationMax;Repeat;Disciplines[];Details[]
LaufABC_01;Lauf ABC;false;true;false;false;Hütchen;10;10; - ;Ausdauer:Schnelligkeit:Schnelllaufen:WeitsprungOhneGrube:WeitsprungMitGrube;Froschsprünge:Hopserlauf:Anversen:Knieheberlauf:Steps:Sprungläufe:Steigerung
LaufABC_02;Lauf ABC;false;true;false;false;Hütchen;10;10; - ;Ausdauer:WeitsprungOhneGrube:WeitsprungMitGrube:Wurf;Hopserlauf:Seitgalopp:Seitkreuzschritte:Schlagläufe:Rückwärtslauf:Steigerung
LaufABC_03;Lauf ABC;false;true;false;false;Hütchen;10;10; - ;Ausdauer:WeitsprungOhneGrube:WeitsprungMitGrube:Wurf;Hopserlauf:Anversen:Knieheberlauf:Schlagläufe:Auf einem Bein hüpfen und links 1 Kontakt, rechts 2 Kontakte:Steps:Steigerung
LaufABC_04;Lauf ABC;false;true;false;false;Hütchen;10;10; - ;Ausdauer:Hochsprung:HochsprungOhneAnlage;Hopserlauf:Anversen:Knieheberlauf:Steps:Sprungläufe:Steigerung
LaufABC_05;Lauf ABC;false;true;false;false;Hütchen;10;10; - ;Ausdauer:Hochsprung:HochsprungOhneAnlage:Schnelligkeit:Schnelllaufen:Überlaufen:Wurf;Hopserlauf:Anversen:Knieheberlauf:Skippings:Steps:Seitkreuzschritte:Steigerung
LaufABC_06;Lauf ABC;false;true;false;false;Hütchen;10;10; - ;Hochsprung:HochsprungOhneAnlage:Schnelligkeit:Schnelllaufen;Hopserlauf:Anversen:Knieheberlauf:Skippings:Steps:Seitgalopp:Steigerung
LaufABC_07;Lauf ABC;false;true;false;false;Hütchen;10;10; - ;Ausdauer:Hochsprung:HochsprungOhneAnlage:Schnelligkeit:Schnelllaufen:Überlaufen:Wurf;Schlagläufe:Anversen:Skippings:Knieheberlauf:Steps:B Steps:Steigerung
LaufABC_08;Lauf ABC;false;true;false;false;Hütchen;10;10; - ;Schnelligkeit:Schnelllaufen:Überlaufen;Hopserlauf:Anversen:Knieheberlauf:Skippings:Steps:Seitkreuzschritte:Seitgalopp:Steigerung
LaufABC_09;Lauf ABC;false;true;false;false;Hütchen;10;10; - ;Schnelligkeit:Schnelllaufen:Wurf;Hopserlauf:Anversen:Schlagläufe:Auf einem Bein hüpfen und links 1 Kontakt, rechts 2 Kontakte:Steps:Steigerung
LaufABC_10;Lauf ABC;false;true;false;false;Hütchen;10;10; - ;Überlaufen:Wurf;Hopserlauf:Anversen:Knieheberlauf:Schlagläufe:Auf einem Bein hüpfen und links 1 Kontakt, rechts 2 Kontakte:Steps:Steigerung
LaufABC_11;Lauf ABC;false;true;false;false;Hütchen;10;10; - ;Ausdauer:Koordination;Hampelmannsprünge:Grätschsprünge:seitliche Sprünge:Einbeinsprünge:Sprung mit Anziehen der Knie:Einbeinsprünge mit Beinwechsel
LaufABC_12;Lauf ABC;false;true;false;false;Hütchen;10;10; - ;Ausdauer:Stabweitsprung;Froschsprünge:Hopserlauf über Hütchen:Anversen:Knieheberlauf:Steps:Sprungläufe:Steigerung
LaufABC_13;Lauf ABC;false;true;false;false;Hütchen;10;10; - ;Ausdauer:Koordination;Hopserlauf:Anversen:Knieheberlauf über Hütchen:Skippings über Hütchen:Seitkreuzschritte:Steigerung
